SnapshotDate,Language,ModelKey,ModelName,TestSamples,Accuracy,PrecisionWeighted,RecallWeighted,F1Weighted,PrecisionMacro,RecallMacro,F1Macro
2026-04-20 17:55:05,Python,logistic,Logistic Regression,26,0.730769,0.820513,0.730769,0.702262,0.833333,0.708333,0.694118
2026-04-20 17:55:05,Python,random_forest,Random Forest,26,0.923077,0.923077,0.923077,0.923077,0.922619,0.922619,0.922619
2026-04-20 17:55:05,Python,gradient_boost,Gradient Boosting,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-04-20 17:55:05,Python,xgboost,XGBoost,26,0.923077,0.923077,0.923077,0.923077,0.922619,0.922619,0.922619
2026-04-20 17:55:05,Java,logistic,Logistic Regression,8,0.75,0.85,0.75,0.75,0.8,0.8,0.75
2026-04-20 17:55:05,Java,random_forest,Random Forest,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-04-20 17:55:05,Java,gradient_boost,Gradient Boosting,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-04-20 17:55:05,Java,xgboost,XGBoost,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-04-20 17:55:05,JavaScript,logistic,Logistic Regression,9,0.555556,0.777778,0.555556,0.481481,0.75,0.6,0.5
2026-04-20 17:55:05,JavaScript,random_forest,Random Forest,9,0.888889,0.911111,0.888889,0.888889,0.9,0.9,0.888889
2026-04-20 17:55:05,JavaScript,gradient_boost,Gradient Boosting,9,0.888889,0.911111,0.888889,0.888889,0.9,0.9,0.888889
2026-04-20 17:55:05,JavaScript,xgboost,XGBoost,9,0.777778,0.777778,0.777778,0.777778,0.775,0.775,0.775
