Language,Model,TrueLabel,PredictedLabel,Count
python,logistic,ai,ai,2
python,logistic,ai,human,10
python,logistic,human,ai,0
python,logistic,human,human,14
python,random_forest,ai,ai,10
python,random_forest,ai,human,2
python,random_forest,human,ai,2
python,random_forest,human,human,12
python,gradient_boost,ai,ai,9
python,gradient_boost,ai,human,3
python,gradient_boost,human,ai,2
python,gradient_boost,human,human,12
python,xgboost,ai,ai,9
python,xgboost,ai,human,3
python,xgboost,human,ai,1
python,xgboost,human,human,13
java,logistic,ai,ai,3
java,logistic,ai,human,0
java,logistic,human,ai,2
java,logistic,human,human,3
java,random_forest,ai,ai,3
java,random_forest,ai,human,0
java,random_forest,human,ai,0
java,random_forest,human,human,5
java,gradient_boost,ai,ai,3
java,gradient_boost,ai,human,0
java,gradient_boost,human,ai,0
java,gradient_boost,human,human,5
java,xgboost,ai,ai,3
java,xgboost,ai,human,0
java,xgboost,human,ai,0
java,xgboost,human,human,5
js,logistic,ai,ai,4
js,logistic,ai,human,0
js,logistic,human,ai,4
js,logistic,human,human,1
js,random_forest,ai,ai,4
js,random_forest,ai,human,0
js,random_forest,human,ai,1
js,random_forest,human,human,4
js,gradient_boost,ai,ai,4
js,gradient_boost,ai,human,0
js,gradient_boost,human,ai,1
js,gradient_boost,human,human,4
js,xgboost,ai,ai,3
js,xgboost,ai,human,1
js,xgboost,human,ai,1
js,xgboost,human,human,4
